afid,number_occurences,affilname,affiliation_city,affiliation_country,city_country,lat,long
60022317,3,University of Macau,Taipa,Macao,"Taipa, Macao",22.1573804,113.5601035
60024521,3,Roskilde Universitet,Roskilde,Denmark,"Roskilde, Denmark",55.6433478,12.0819247
60025757,3,Indian Institute of Technology Madras,Chennai,India,"Chennai, India",13.0836939,80.270186
60028333,3,UNSW Sydney,Sydney,Australia,"Sydney, Australia",-33.8698439,151.2082848
60028717,3,Ludwig-Maximilians-Universität München,Munich,Germany,"Munich, Germany",48.1371079,11.5753822
60029747,3,University of Georgia,Athens,United States,"Athens, United States",33.9597677,-83.376398
60030480,3,University of Bath,Bath,United Kingdom,"Bath, United Kingdom",51.3813864,-2.3596963
60031806,3,The University of Western Australia,Perth,Australia,"Perth, Australia",-31.9558933,115.8605855
60032144,3,Korea Advanced Institute of Science and Technology,Daejeon,South Korea,"Daejeon, South Korea",36.3497007,127.3849016
60032259,3,Università degli Studi di Cagliari,Cagliari,Italy,"Cagliari, Italy",39.2171994,9.113311
60032350,3,Sapienza Università di Roma,Rome,Italy,"Rome, Italy",41.8933203,12.4829321
60032987,3,Griffith University,Brisbane,Australia,"Brisbane, Australia",-27.4689682,153.0234991
60032991,3,Technische Universität Dortmund,Dortmund,Germany,"Dortmund, Germany",51.5142273,7.4652789
60033100,3,Nanjing University,Nanjing,China,"Nanjing, China",32.0615513,118.7915619
60053707,3,University of the Punjab,Lahore,Pakistan,"Lahore, Pakistan",31.5656822,74.3141829
60076783,3,Amrita School of Business,Coimbatore,India,"Coimbatore, India",11.0018115,76.9628425
60087597,3,Universitas Muhammadiyah Malang,Malang,Indonesia,"Malang, Indonesia",-7.9771206,112.6340291
60099658,3,USC Marshall School of Business,Los Angeles,United States,"Los Angeles, United States",34.0536909,-118.242766
60102713,3,United International College,Zhuhai,China,"Zhuhai, China",22.273734,113.5721327
60103124,3,Bentley University,Waltham,United States,"Waltham, United States",42.3756401,-71.2358004
